"Timestamp","1. About how much time do you spend daily on short-form content (like reels, shorts, quick scrolling)?","Enter your average daily screen time (in hours)
To check your screen time:
Android: Go to Settings → Digital Wellbeing & Parental Controls → Dashboard
iPhone: Go to Settings → Screen Time → See All Activity","What is your primary form of content consumed?","Do you engage with any digital content within 30 minutes before sleep?","How often do you switch between apps/tasks while using your device?","How often do you take intentional breaks during screen usage?","What is your average sleep duration?","Rate your ability to maintain focus on a single task (1–10)","How often do you feel mentally fatigued during the day?","How easily do you get distracted while working/studying?","After periods of high screen usage, how does your concentration change?"
"2026/03/29 6:31:05 PM GMT+5:30","2-4 hours","6 hrs","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Sometimes","6-7 hours","7","Almost always","Easy","No change"
"2026/03/29 6:32:30 PM GMT+5:30","2-4 hours","8 hrs ","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","6-7 hours","7","Sometimes","Difficult","Slightly decreases"
"2026/03/29 6:36:19 PM GMT+5:30","4-6 hours","8 hours","A mix of both fast-paced and long-form content","Yes","Frequently","Rarely","7-8 hours","7","Sometimes","Difficult","Significantly decreases"
"2026/03/29 6:36:22 PM GMT+5:30","2-4 hours","7","A mix of both fast-paced and long-form content","Yes","Frequently","Sometimes","5-6 hours","5","Sometimes","Easy","Significantly decreases"
"2026/03/29 6:40:24 PM GMT+5:30","2-4 hours","6hrs","A mix of both fast-paced and long-form content","Yes","Frequently","Never","8+ hours","7","Never","Easy","No change"
"2026/03/29 6:51:16 PM GMT+5:30","1-2 hours","3hr","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","8+ hours","6","Sometimes","Easy","Significantly decreases"
"2026/03/29 6:51:19 PM GMT+5:30","1-2 hours","7 hours 44 mins","A mix of both fast-paced and long-form content","Yes","Rarely","Rarely","5-6 hours","4","Frequently","Very Easy","No change"
"2026/03/29 7:01:44 PM GMT+5:30","6+ hours","10","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Rarely","7-8 hours","7","Sometimes","Very Easy","Significantly decreases"
"2026/03/29 7:07:53 PM GMT+5:30","0–1 hours","5","A mix of both fast-paced and long-form content","No","Sometimes","Rarely","6-7 hours","8","Sometimes","Difficult","No change"
"2026/03/29 7:27:43 PM GMT+5:30","2-4 hours","4h","A mix of both fast-paced and long-form content","Yes","Sometimes","Sometimes","7-8 hours","7","Almost always","Difficult","No change"
"2026/03/29 7:42:13 PM GMT+5:30","1-2 hours","4","Fast-paced (short videos, reels, quick scroll content)","Yes","Frequently","Rarely","8+ hours","7","Sometimes","Difficult","Slightly decreases"
"2026/03/29 7:53:36 PM GMT+5:30","2-4 hours","6H 20min","Fast-paced (short videos, reels, quick scroll content)","Yes","Sometimes","Frequently","7-8 hours","7","Sometimes","Easy","Slightly decreases"
